OBID,Latitude,Longitud,Date,Water Level,Flow Rate,Trash,State,Country
1,38.6419,-121.382934,8/4/15 12:30,Some,Slow,Some,CA,US
2,38.641874,-121.382967,8/4/15 12:24,Some,Slow,Some,CA,US
3,38.645096,-121.348027,8/4/15 12:08,Some,Fast,Some,CA,US
4,38.645197,-121.347555,8/4/15 12:06,Some,Slow,A lot,CA,US
5,38.65601,-121.337264,8/4/15 11:52,Some,Fast,Some,CA,US
6,38.656143,-121.337074,8/4/15 11:51,Some,Slow,Some,CA,US
7,38.656254,-121.336923,8/4/15 11:49,Some,Slow,Some,CA,US
8,38.656276,-121.336869,8/4/15 11:47,Some,Slow,Some,CA,US
9,38.660838,-121.429082,6/4/15 12:06,Some,Slow,Some,CA,US
10,38.645044,-121.347809,6/4/15 11:45,Some,Slow,A lot,CA,US
11,38.656006,-121.337364,6/4/15 11:33,Some,Still,Some,CA,US
12,38.661004,-121.429094,4/4/15 15:44,Some,Slow,Some,CA,US
13,38.660926,-121.429245,4/4/15 15:42,Some,Slow,Some,CA,US
14,38.66089,-121.429163,4/4/15 15:41,Some,Slow,Some,CA,US
15,33.767757,-118.407849,4/4/15 13:55,Dry,No Water,None,CA,US
16,33.768251,-118.409576,4/4/15 13:51,Dry,No Water,Some,CA,US
17,38.611341,-121.466663,3/25/15 12:05,Some,Slow,A lot,CA,US
18,38.623943,-121.456989,3/25/15 11:54,Some,Still,Some,CA,US
19,38.624293,-121.456944,3/25/15 11:52,Some,Slow,A lot,CA,US
20,38.624213,-121.457123,3/25/15 11:50,Some,Slow,A lot,CA,US
21,39.736491,-121.827063,3/3/15 13:09,Some,Slow,None,CA,US
22,39.736277,-121.827023,3/24/15 13:05,Some,Slow,None,CA,US
23,38.611205,-121.467502,3/24/15 21:22,Some,Slow,A lot,CA,US
24,38.611039,-121.467531,3/24/15 21:21,Some,Fast,A lot,CA,US
25,39.73719,-121.826199,3/24/15 14:38,Some,Still,None,CA,US
26,39.736472,-121.827126,3/24/15 14:33,Some,Slow,None,CA,US
27,39.736507,-121.827162,3/24/15 14:25,Full,Fast,Some,CA,US
28,39.737229,-121.825946,3/24/15 12:49,Some,Slow,None,CA,US
29,39.737377,-121.826463,3/24/15 13:08,Some,Slow,None,CA,US
30,39.736876,-121.827341,3/24/15 12:40,Some,Slow,A lot,CA,US
31,37.439556,-122.179855,8/3/15 20:53,Some,Slow,None,CA,US
32,37.439505,-122.179853,11/2/15 20:33,Some,Fast,None,CA,US
33,38.695795,-121.129449,3/18/15 16:01,Some,Slow,Some,CA,US
34,38.679728,-121.178746,3/18/15 10:59,Full,Slow,Some,CA,US
35,38.683298,-121.178208,3/18/15 10:42,Full,Slow,Some,CA,US
36,38.65693,-121.337057,3/15/15 19:30,Some,Still,A lot,CA,US
37,38.6561,-121.337297,3/15/15 19:21,Some,Slow,Some,CA,US
38,38.656317,-121.336881,3/15/15 19:18,Some,Still,Some,CA,US
39,38.656232,-121.336931,3/15/15 19:14,Dry,No Water,Some,CA,US
40,39.737132,-121.82606,10/3/15 13:10,Some,Still,None,CA,US
41,38.575054,-121.564172,1/28/15 14:06,Some,Still,A lot,CA,US
42,38.6453,-121.347471,1/31/15 12:29,Some,Still,Some,CA,US
43,38.625921,-121.446366,7/2/15 12:59,Some,Still,A lot,CA,US
44,38.625982,-121.446047,7/2/15 13:01,Some,Fast,A lot,CA,US
45,38.627445,-121.432067,7/2/15 13:19,Some,Fast,Some,CA,US
46,38.628229,-121.420452,7/2/15 13:32,Some,Fast,A lot,CA,US
47,38.630177,-121.418442,7/2/15 13:39,Some,Fast,Some,CA,US
48,38.640587,-121.378478,7/2/15 14:54,Some,Fast,Some,CA,US
49,38.643788,-121.357214,7/2/15 15:12,Some,Fast,Some,CA,US
50,37.977016,-121.379454,12/2/15 15:14,Some,Slow,Some,CA,US
51,38.63454,-121.225676,2/15/15 14:14,Some,Fast,None,CA,US
52,38.683964,-121.271789,2/15/15 15:33,Some,Slow,A lot,CA,US
53,38.650812,-121.342213,1/31/15 13:37,Some,Slow,A lot,CA,US
54,38.627452,-121.432395,7/2/15 13:17,Some,Fast,A lot,CA,US
55,38.628222,-121.420453,7/2/15 13:33,Some,Fast,Some,CA,US
56,38.630089,-121.418473,7/2/15 13:38,Some,Fast,Some,CA,US
57,38.640681,-121.378403,7/2/15 14:52,Some,Fast,Some,CA,US
58,38.643807,-121.357194,7/2/15 15:14,Some,Fast,Some,CA,US
59,38.643902,-121.357085,7/2/15 15:35,Some,Fast,Some,CA,US
60,38.567806,-121.280725,2/15/15 12:59,Some,Slow,None,CA,US
61,38.683473,-121.271875,2/15/15 15:18,Some,Slow,Some,CA,US
62,38.683809,-121.271567,2/15/15 15:35,Some,Still,A lot,CA,US
63,39.73644,-121.827136,10/3/15 14:54,Some,Fast,None,CA,US
64,39.736976,-121.825582,10/3/15 14:50,Some,Still,None,CA,US
65,39.736543,-121.827088,10/3/15 14:29,Some,Slow,None,CA,US
66,39.737226,-121.826562,10/2/15 12:51,Full,Fast,None,CA,US
67,39.737319,-121.826669,2/17/15 12:45,Some,Fast,None,CA,US
68,39.737274,-121.82651,2/24/15 12:54,Some,Slow,None,CA,US
69,39.737226,-121.826495,3/3/15 13:19,Some,Slow,None,CA,US
70,39.737287,-121.82656,10/3/15 13:08,Some,Slow,None,CA,US
71,39.73697,-121.825595,3/3/15 15:09,Some,Slow,None,CA,US
72,39.737209,-121.826222,3/3/15 15:00,Some,Still,None,CA,US
73,39.736481,-121.827149,3/3/15 14:57,Some,Slow,None,CA,US
74,39.736354,-121.827089,3/3/15 14:57,Some,Fast,None,CA,US
75,39.736998,-121.826135,3/3/15 13:08,Some,Slow,None,CA,US
76,39.736861,-121.82716,2/24/15 12:40,Full,Slow,None,CA,US
77,39.736457,-121.827143,3/3/15 13:04,Some,Fast,None,CA,US
78,39.736732,-121.827215,2/17/15 15:23,Some,Fast,None,CA,US
79,39.736476,-121.827123,2/24/15 12:43,Some,Slow,None,CA,US
80,39.736479,-121.827245,10/2/15 13:19,Full,Fast,None,CA,US
81,37.439691,-122.179916,5/1/15 11:59,Some,Slow,None,CA,US
82,37.439415,-122.179782,12/12/14 12:17,Full,Fast,None,CA,US
83,37.40321,-122.068842,11/12/14 12:57,Some,Fast,None,CA,US
84,37.439503,-122.17991,3/12/14 12:48,Full,Fast,None,CA,US
85,37.43942,-122.179693,1/12/14 11:33,Some,Slow,None,CA,US
86,39.729259,-121.847133,11/21/14 14:53,Full,Fast,None,CA,US
87,40.557786,-121.723034,11/18/14 13:21,Some,Fast,None,CA,US
